,,,,,,,,,,,,,,,比例名簿順,把握
ふなはし としみつ,1,北海道1区,,,船橋,利実,ふなはし,としみつ,56,自民,公明,元,1,比例,,
みちした だいき,2,北海道1区,,,道下,大樹,みちした,だいき,41,立憲,,新,0,比例,,
まつき けんこう,3,北海道2区,,,松木,謙公,まつき,けんこう,58,希望,,前,4,比例,,
こわだ やすふみ,4,北海道2区,,,小和田,康文,こわだ,やすふみ,47,維新,,新,0,比例,,
かなくら まさとし,5,北海道2区,,,金倉,昌俊,かなくら,まさとし,43,共産,,新,0,比例,,
よしかわ たかもり,6,北海道2区,,,吉川,貴盛,よしかわ,たかもり,67,自民,公明,前,5,比例,,
あらい さとし,7,北海道3区,,,荒井,聰,あらい,さとし,71,立憲,,前,7,比例,,
たかぎ ひろひさ,8,北海道3区,,,高木,宏寿,たかぎ,ひろひさ,57,自民,公明,前,2,比例,,
ほんだ ひらなお,9,北海道4区,,,本多,平直,ほんだ,ひらなお,52,立憲,,元,2,比例,,
なかむら ひろゆき,10,北海道4区,,,中村,裕之,なかむら,ひろゆき,56,自民,公明,前,2,比例,,
たかはし みほ,11,北海道4区,,,高橋,美穂,たかはし,みほ,52,希望,,元,1,比例,,
いけだ まき,12,北海道5区,,,池田,真紀,いけだ,まき,45,立憲,,新,0,比例,,
もりやま よしのり,13,北海道5区,,,森山,佳則,もりやま,よしのり,50,諸派,,新,0,,,
わだ よしあき,14,北海道5区,,,和田,義明,わだ,よしあき,46,自民,公明,前,1,比例,,
いまず ひろし,15,北海道6区,,,今津,寛,いまず,ひろし,71,自民,公明,前,7,比例,,
ささき たかひろ,16,北海道6区,,,佐々木,隆博,ささき,たかひろ,68,立憲,,前,3,,,
いとう よしたか,17,北海道7区,,,伊東,良孝,いとう,よしたか,68,自民,公明,前,3,比例,,
いしかわ あけみ,18,北海道7区,,,石川,明美,いしかわ,あけみ,66,共産,,新,0,,,
おおさか せいじ,19,北海道8区,,,逢坂,誠二,おおさか,せいじ,58,無所,,前,3,,,
まえだ かずお,20,北海道8区,,,前田,一男,まえだ,かずお,51,自民,公明,前,2,比例,,
やまおか たつまる,21,北海道9区,,,山岡,達丸,やまおか,たつまる,38,希望,,元,1,比例,,
ほりい まなぶ,22,北海道9区,,,堀井,学,ほりい,まなぶ,45,自民,公明,前,2,比例,,
まつはし ちはる,23,北海道9区,,,松橋,千春,まつはし,ちはる,35,共産,,新,0,,,
いなつ ひさし,24,北海道10区,,,稲津,久,いなつ,ひさし,59,公明,自民,前,3,,,
かみや ひろし,25,北海道10区,,,神谷,裕,かみや,ひろし,49,立憲,,新,0,比例,,
いしかわ かおり,26,北海道11区,,,石川,香織,いしかわ,かおり,33,立憲,,新,0,比例,,
なかがわ ゆうこ,27,北海道11区,,,中川,郁子,なかがわ,ゆうこ,58,自民,公明,前,2,比例,,
たけべ あらた,28,北海道12区,,,武部,新,たけべ,あらた,47,自民,公明,前,2,比例,,
みずかみ みか,29,北海道12区,,,水上,美華,みずかみ,みか,35,希望,,新,0,比例,,
すがわら まこと,30,北海道12区,,,菅原,誠,すがわら,まこと,44,共産,,新,0,,,
つしま じゅん,31,青森1区,,,津島,淳,つしま,じゅん,51,自民,公明,前,2,比例,,
あかひら ゆうと,32,青森1区,,,赤平,勇人,あかひら,ゆうと,27,共産,,新,0,,,
ますた せきお,33,青森1区,,,升田,世喜男,ますた,せきお,60,希望,,前,1,比例,,
くどう たけし,34,青森2区,,,工藤,武司,くどう,たけし,45,希望,,新,0,比例,,
おくもと なおみ,35,青森2区,,,奥本,菜保巳,おくもと,なおみ,57,共産,,新,0,,,
おおしま ただもり,36,青森2区,,,大島,理森,おおしま,ただもり,71,自民,公明,前,11,比例,,
みくに ゆうき,37,青森3区,,,三国,佑貴,みくに,ゆうき,32,諸派,,新,0,,,
きむら じろう,38,青森3区,,,木村,次郎,きむら,じろう,49,自民,公明,新,0,比例,,
