Wikidata ID,name,,,,name in hiragana,party short name,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,,,,,
UI用DBカラム名,name_full,,name_last,name_first,name_full_furigana,pary_id,pref_code,senkyoku_no,hirei_area_id,,gender,birth_day,,birth_year,photo_url,twitter_id,facebook_id,facebook_page_id,line_id,youtube_channel_id,instagram_id,offiicial_website_url,email,official_blog_url,reference_url,birth_place,educational_background,,occupation,position_held,father,spouse,,url_wikidata,url_wikipedia,,,,,,,
wikdiata_concept,label,,,,P1814,P102,Q646425,,P768(Q13365595),P768(Q1052894),P21,P569,,P569,P18,P2002,P2013,P4003,P553-P554,P2397,P553-P554,P856,P968,P1581,P973,P19,P69,P69,P106,P39,P22,P26,,,,,,,,,,
wikidata,名前（フル）,別名（旧姓など）,名前（姓）,名前（名）,かな,公認政党,都道府県,小選挙区番号,比例区,小選挙区,性別,誕生日,年齢,誕生年,写真,twitter,フェイスブックID,公式Facebookページ,LINEアカウント,youtube channel,Instagram,公式サイト,メールアドレス,公式ブログ,詳細情報URL,出生地,学歴（履歴）,学歴（最新）,職歴,公職,父親,配偶者,メモ,Wikidata URL,Wikipedia URL,担当,予定日,完了日,,,,
Q534338,中山恭子,,中山,恭子,なかやま きょうこ,無所属,,,比例,,女性,1940-01-26,77,,,-,https://www.facebook.com/kyokonakayama1940,https://www.facebook.com/nakayamakyoko1940/,,,,http://nakayamakyoko.net/,,,,東京府,,,,,,,,,,,,,,,http://www.facebook.com/nakayamakyoko1940,
Q7827654,水落敏栄,,水落,敏栄,みずおち としえい,自民,,,比例,,男性,1943-02-24,74,,,-,https://www.facebook.com/mizuochi0224,-,,,,-,,,,十日町市,,,,,,,,,,,,,,,https://www.facebook.com/mizuochi0224,
Q977641,山口那津男,,山口,那津男,やまぐち なつお,公明,,,,東京,男性,1952-07-12,65,,,yamaguchinatsuo,-,https://www.facebook.com/%E5%B1%B1%E5%8F%A3%E9%82%A3%E6%B4%A5%E7%94%B7-152305224906471/,,,,https://www.n-yamaguchi.gr.jp/,,,,ひたちなか市,,,,,,,,,,,,,,https://twitter.com/yamaguchinatsuo,https://www.facebook.com/pages/Natsuo-Yamaguchi/152305224906471,
Q11418015,和田政宗,,和田,政宗,わだ まさむね,自民,,,,宮城,男性,1974-10-14,43,,,wadamasamune,-,https://www.facebook.com/%E5%8F%82%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-%E5%92%8C%E7%94%B0%E6%94%BF%E5%AE%97-501441126558333/,,https://www.youtube.com/channel/UC4xBAP8wKqllDY902jzMEGQ,,https://www.wadamasamune.com/#,,,,東京都,,,,,,,,,,,,,,https://twitter.com/wadamasamune,http://www.facebook.com/pages/%E3%81%BF%E3%82%93%E3%81%AA%E3%81%AE%E5%85%9A-%E5%92%8C%E7%94%B0%E6%94%BF%E5%AE%97/501441126558333,
Q7497821,足立信也,,足立,信也,あだち しんや,民進,,,,大分,男性,1957-06-05,60,,,-,-,https://www.facebook.com/%E8%B6%B3%E7%AB%8B%E4%BF%A1%E4%B9%9F%E3%81%A8%E5%AE%89%E5%BF%83%E3%81%AA%E6%97%A5%E6%9C%AC%E3%82%92%E5%89%B5%E3%82%8B%E4%BC%9A-819627454817002/,,,,http://www.adachishinya.com,info@adachishinya.com,https://ameblo.jp/adachishinya/,,大分市,,,,,,,,,,,,,,,https://www.facebook.com/足立信也と安心な日本を創る会-819627454817002/,https://www.adachishinya.com/
Q27150771,足立敏之,,足立,敏之,あだち としゆき,自民,,,比例,,男性,1954-05-20,63,,,-,-,https://www.facebook.com/Adachi.Toshiyuki501/,,,,http://www.adachi-toshiyuki.jp/,,,,兵庫県西宮市,京都大学大学院,,,,,,,,,,,,,,,http://www.adachi-toshiyuki.jp/
Q18700441,阿達雅志,,阿達,雅志,あだち まさし,自民,,,比例,,男性,1959-09-27,58,,,adachi_masashi_,-,https://www.facebook.com/masashi.adachi.jimin/,,,,http://www.masashi-adachi.com/,,,,京都府京都市左京区,東京大学法学部,,,,,,,,,,,,,https://twitter.com/adachi_masashi_,https://www.facebook.com/masashi.adachi.jimin,http://www.masashi-adachi.com/
Q11581903,相原久美子,,相原,久美子,あいはら くみこ,民進,,,比例,,女性,1947-03-14,70,,,-,-,https://www.facebook.com/aiharakumiko/,,,,http://aikumi.info/,,http://aikumi.info/diary.cgi,,三笠市,,,,,,,,,,,,,,,http://www.facebook.com/aiharakumiko,
Q6203078,愛知治郎,,愛知,治郎,あいち じろう,自民,,,,宮城,男性,1969-06-23,48,,,jiroaichi,-,https://www.facebook.com/aichijiro,,https://www.youtube.com/user/jiroaichi,,http://a-jiro.jp/,,,,ニューヨーク州,,,,,,,,,,,,,,,https://www.facebook.com/aichijiro,
Q3544200,青木愛,,青木,愛,あおき あい,希望,,,比例,,女性,1965-08-18,52,,,aoki12ku,-,https://www.facebook.com/aokiai.politics,,,,http://www.aoki-ai.com,,,,墨田区,,,,,,,,,,,,,,,,http://www.aoki-ai.com/
Q1737543,青木一彦,,青木,一彦,あおき かずひこ,自民,,,,鳥取・島根,男性,1961-03-25,56,,,-,-,-,,,,http://www.aokikazuhiko.jp/,,,,島根県出雲市大社町,,,,,,,,,,,,,,,,http://www.aokikazuhiko.jp
Q11661317,青山繁晴,,青山,繁晴,あおやま しげはる,自民,,,比例,,男性,1952-07-25,65,,,-,-,https://www.facebook.com/%E9%9D%92%E5%B1%B1%E7%B9%81%E6%99%B4%E4%BA%8B%E5%8B%99%E6%89%80-655432097944331/,,,,http://shiaoyama.com/,,,,兵庫県神戸市長田区,早稲田大学政治経済学部,,,,,,,,,,,,,,,http://shiaoyama.com
Q26044244,伊藤孝江,,伊藤,孝江,いとう たかえ,公明,,,,兵庫,女性,1968-01-13,49,,,ito_takae,-,https://www.facebook.com/itotakae.hyogo/,,,,http://ito-takae.com/,,,,,,,,,,,,,,,,,,https://twitter.com/ito_takae,https://www.facebook.com/itotakae.hyogo/,http://ito-takae.com/
Q26044232,伊藤孝恵,,伊藤,孝恵,いとう たかえ,民進,,,,愛知,女性,1975-06-30,42,,,itotakae0630,-,https://www.facebook.com/%E4%BC%8A%E8%97%A4%E3%81%9F%E3%81%8B%E3%81%88-224310161276282/,,,,http://itoutakae.info/,,,,,,,,,,,,,,,,,,https://twitter.com/itotakae0630,https://www.facebook.com/profile.php?id=100011347223104,http://itoutakae.info/
Q11379661,伊波洋一,,伊波,洋一,いは よういち,沖縄,,,,沖縄,男性,1952-01-04,65,,,ihayoichi,-,https://www.facebook.com/ihayoichi/,,https://www.youtube.com/user/ihayoichi/videos,https://www.instagram.com/ihayoichi/,,,,,,,,,,,,,,,,,,,,,
Q6313056,石井準一,,石井,準一,いしい じゅんいち,自民,,,,千葉,男性,1957-11-23,59,,,-,-,https://www.facebook.com/keit141/,,,,http://www.ishii-junichi.net/,,,,千葉県,,,,,,,,,,,,,,,https://ja-jp.facebook.com/keit141,
Q1620262,石井浩郎,,石井,浩郎,いしい ひろお,自民,,,,秋田,男性,1964-06-21,53,,,-,-,-,,,,http://ishii-hiroo.jp/,,,,秋田県,,,,,,,,,,,,,,,,http://www.ishii-hiroo.jp
Q6842915,石井みどり,,石井,みどり,いしい みどり,自民,,,比例,,女性,1949-06-23,68,,,IshiiMidori,-,https://www.facebook.com/%E7%9F%B3%E4%BA%95%E3%81%BF%E3%81%A9%E3%82%8A-469384756467312/,,,,http://www.ishii-midori.jp/top.html,,,,,,,,,,,,,,,,,,https://twitter.com/IshiiMidori,https://www.facebook.com/pages/石井みどり/469384756467312?fref=ts,
Q16264106,礒崎哲史,,礒崎,哲史,いそざき てつじ,民進,,,比例,,男性,1969-04-07,48,,,isozakiTetsuji,-,https://www.facebook.com/isozakitetsuji.jaw,,,,http://isozakitetsuji.com/,,,,,,,,,,,,,,,,,,https://twitter.com/IsozakiTetsuji,http://www.facebook.com/isozakitetsuji.jaw,
Q534585,猪口邦子,,猪口,邦子,いのぐち くにこ,自民,,,,千葉,女性,1952-05-03,65,,,kunikoinoguchi,-,https://www.facebook.com/inoguchikuniko,,,,http://www.kunikoinoguchi.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/kunikoinoguchi,https://www.facebook.com/inoguchikuniko/,http://www.kunikoinoguchi.jp/
Q3056615,今井絵理子,,今井,絵理子,いまい えりこ,自民,,,比例,,女性,1983-09-22,34,,,Eriko_imai,-,https://www.facebook.com/ErikoImaiOfficialPage,,,,http://www.imai-eriko.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/Eriko_imai,https://www.facebook.com/ErikoImaiOfficialPage,http://ameblo.jp/eriko--imai/
Q26043966,岩渕友,,岩渕,友,いわぶち とも,共産,,,比例,,女性,1976-10-03,41,,,buchitom,-,https://www.facebook.com/iwabuchitomo,,,,http://iwabuchi-tomo.jp/,,,,,,,,,,,,,,,,,,https://twitter.com/buchitom,https://www.facebook.com/iwabuchitomo,http://iwbc.hateblo.jp/
Q11360463,上野通子,,上野,通子,うえの みちこ,自民,,,,栃木,女性,1958-04-21,59,,,-,-,https://www.facebook.com/michinet.tochigi,,,,http://ueno-michiko.jp/,,,,,,,,,,,,,,,,,,,https://www.facebook.com/michinet.tochigi,http://ueno-michiko.jp/
Q8060488,魚住裕一郎,,魚住,裕一郎,うおずみ ゆういちろう,公明,,,比例,,男性,1952-08-01,65,,,uozumi_yuichiro,-,https://www.facebook.com/uozumi.yuichiro,,https://www.youtube.com/user/uozumicom,,http://www.uozumi.gr.jp,,,,海草郡,,,,,,,,,,,,,,https://twitter.com/uozumi_yuichiro,https://www.facebook.com/uozumi.yuichiro,
