こわだ　康文,こわだ康文,こわだ　やすふみ,,北海道2区,,選挙区支部長
畠山　まさき,畠山まさき,はたけやま　まさき,,宮城1区,,選挙区支部長
西村 えみ,西村えみ,にしむら えみ,,福島2区,,
こひやま 清人,こひやま清人,こひやま きよと,,埼玉1区,,
やこう 勘司,やこう勘司,やこう　かんじ,,埼玉県3区,,
あおやぎ　仁士,あおやぎ仁士,あおやぎ　ひとし,,埼玉4区,,選挙区支部長
はたの　博,はたの博,はたの　ひろし,,埼玉14区,,選挙区支部長
高橋 ひであき,高橋ひであき,たかはし ひであき,,埼玉15区,,
長谷川　豊,長谷川豊,はせがわ　ゆたか,,千葉1区,,選挙区支部長
藤巻　けんた,藤巻けんた,ふじまき　けんた,,千葉2区,,選挙区支部長
佐藤 浩,佐藤浩,さとう ひろし,,千葉4区,,
星　けんたろう,星けんたろう,ほし　けんたろう,,千葉6区,,選挙区支部長
くしだ　誠一,くしだ誠一,くしだ　せいいち,,神奈川6区,,選挙区支部長
吉田　豊史,吉田豊史,よしだ とよふみ,,富山1区,,
橋本　まさゆき,橋本まさゆき,はしもと　まさゆき,,長野1区,,選挙区支部長
手塚　大輔,手塚大輔,てづか　だいすけ,,長野2区,,選挙区支部長
スギモト カズミ,スギモトカズミ,すぎもと　かずみ,,愛知10区,,選挙区支部長
森　なつえ,森なつえ,もり　なつえ,,京都3区,,選挙区支部長
井上　ひでたか,井上ひでたか,いのうえ　ひでたか,,大阪1区,,"選対本部長補佐 , 組織局長"
しいき　保,しいき保,しいき　たもつ,,大阪2区,,
ミノベ　テルオ,ミノベテルオ,みのべ　てるお,,大阪4区,,選挙区支部長
奥下　たけみつ,奥下たけみつ,おくした　たけみつ,,大阪7区,,選挙区支部長
木下　智彦,木下智彦,きのした　ともひこ,,大阪8区,,青年局長
あだち　康史,あだち康史,あだち　やすし,,大阪9区,,
松浪　ケンタ,松浪ケンタ,まつなみ　けんた,,大阪10区,,
いとう　信久,いとう信久,いとう　のぶひさ,,大阪11区,,国際局長
藤田　文武,藤田文武,ふじた　ふみたけ,,大阪12区,,選挙区支部長
青野よしあき,青野よしあき,あおの　よしあき,,大阪13区,,
谷畑　孝,谷畑孝,たにはた　たかし,,大阪14区,,
うらの 靖人,うらの靖人,うらの　やすと,,大阪15区,,
馬場　伸幸,馬場伸幸,ばば　のぶゆき,,大阪17区,,"幹事長 , 選対本部長"
遠藤　たかし,遠藤たかし,えんどう　たかし,,大阪18区,,
丸山　ほだか,丸山ほだか,まるやま　ほだか,,大阪19区,,
梅村　さとし,梅村さとし,うめむら　さとし,,兵庫1区,,選挙区支部長
まつき秀一郎,まつき秀一郎,まつき　しゅういちろう,,兵庫3区,,
いちむら　浩一郎,いちむら浩一郎,いちむら　こういちろう,,兵庫6区,,選挙区支部長
三木　けえ,三木けえ,みき　けえ,,兵庫7区,,選挙区支部長
よしの　忠男,よしの忠男,よしの　ただお,,奈良1区,,選挙区支部長
栄 たかのり,栄たかのり,さかえ　たかのり,,和歌山２区,,
はいおか　香奈,はいおか香奈,はいおか　かな,,広島2区,,選挙区支部長
今枝　仁,今枝仁,いまえだ　じん,,広島3区,,選挙区支部長
空本　せいき,空本せいき,そらもと　せいき,,広島4区,,
西岡　あらた,西岡あらた,にしおか　あらた,,愛媛2区,,選挙区支部長
かわの　正美,かわの正美,かわの　まさみ,,福岡4区,,
くちいし 竜三,くちいし竜三,くちいし　りゅうぞう,,長崎３区,,
山之内　つよし,山之内つよし,やまのうち　つよし,,鹿児島1区,,選挙区支部長
下地　ミキオ,下地ミキオ,しもじ　みきお,,沖縄1区,,
佐藤 暁,佐藤暁,さとう　あきら,,,北海道ブロック,
木村　たけつか,木村たけつか,きむら　たけつか,,,東京都ブロック,
小林　学,小林学,こばやし　まなぶ,,,東京都ブロック,
中津川 博郷,中津川博郷,なかつがわ　ひろさと,,,東京都ブロック,
喜多 義典,喜多義典,きた　よしのり,,,東海ブロック,
