,北海道,公認,,渡辺,孝一,わたなべ,こういち,,1957-11-25,前,２期,https://www.jimin.jp/news/activities/135811.html
,北海道,公認,,鈴木,貴子,すずき,たかこ,,1986-01-05,前,２期,https://www.jimin.jp/news/activities/135811.html
,東北,公認,,江渡,聡徳,えと,あきのり,,1955-10-12,前,６期,https://www.jimin.jp/news/activities/135811.html
,東北,公認,,橋本,英教,はしもと,ひでのり,,1967-08-28,前,２期,https://www.jimin.jp/news/activities/135811.html
,南関東,公認,,宮川,典子,みやがわ,のりこ,,1979-04-05,前,２期,https://www.jimin.jp/news/activities/135811.html
,北陸信越,公認,,若林,健太,わかばやし,けんた,,1964-01-11,新,元参議院議員(１期),https://www.jimin.jp/news/activities/135811.html
,北陸信越,公認,,山本,拓,やまもと,たく,,1952-07-07,前,７期,https://www.jimin.jp/news/activities/135811.html
,北陸信越,公認,,助田,重義,すけだ,しげよし,,1960-01-10,前,２期,https://www.jimin.jp/news/activities/135811.html
,近畿,公認,,奥野,信亮,おくの,しんすけ,,1944-03-05,前,４期,https://www.jimin.jp/news/activities/135811.html
,中国,公認,,池田,道孝,いけだ,みちたか,,1947-02-09,前,２期,https://www.jimin.jp/news/activities/135811.html
,四国,公認,,福井,照,ふくい,てる,,1953-12-14,前,６期,https://www.jimin.jp/news/activities/135811.html
,四国,公認,,福山,守,ふくやま,まもる,,1952-12-19,前,２期,https://www.jimin.jp/news/activities/135811.html
,九州,公認,,今村,雅弘,いまむら,まさひろ,,1947-01-05,前,７期,https://www.jimin.jp/news/activities/135811.html
,九州,公認,,園田,博之,そのだ,ひろゆき,,1942-02-19,前,１０期,https://www.jimin.jp/news/activities/135811.html
,九州,公認,,宮路,拓馬,みやじ,たくま,,1979-12-06,前,１期,https://www.jimin.jp/news/activities/135811.html
北海道1区,,公認,,船橋,利実,ふなはし,としみつ,,1960-11-20,元,１期,https://www.jimin.jp/news/activities/135811.html
北海道2区,,公認,,川,貴盛,よしかわ,たかもり,,1950-10-20,前,５期,https://www.jimin.jp/news/activities/135811.html
北海道3区,,公認,,高木,宏壽,たかぎ,ひろひさ,,1960-04-09,前,２期,https://www.jimin.jp/news/activities/135811.html
